"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 07 09:16:25 GMT 2023","Thu Dec 07 09:16:25 GMT 2023","391","tests.Lesson_20","test_notes_api","","","","Update existing note by id",""
"passed","Thu Dec 07 09:16:27 GMT 2023","Thu Dec 07 09:16:27 GMT 2023","428","tests.Lesson_20","test_notes_api","","","","Test change note status",""
"passed","Thu Dec 07 09:16:26 GMT 2023","Thu Dec 07 09:16:26 GMT 2023","97","tests.Lesson_20","test_notes_api","","","","Test page not found empty id",""
"passed","Thu Dec 07 09:16:27 GMT 2023","Thu Dec 07 09:16:27 GMT 2023","127","tests.Lesson_20","test_notes_api","","","","Test get note fail with invalid id",""
"passed","Thu Dec 07 09:16:24 GMT 2023","Thu Dec 07 09:16:24 GMT 2023","255","tests.Lesson_20","test_notes_api","","","","Test post new note",""
"passed","Thu Dec 07 09:16:25 GMT 2023","Thu Dec 07 09:16:26 GMT 2023","125","tests.Lesson_20","test_notes_api","","","","Test fail post new note without description",""
"passed","Thu Dec 07 09:16:27 GMT 2023","Thu Dec 07 09:16:28 GMT 2023","333","tests.Lesson_20","test_notes_api","","","","Test fail change note status to string",""
"passed","Thu Dec 07 09:16:26 GMT 2023","Thu Dec 07 09:16:26 GMT 2023","197","tests.Lesson_20","test_notes_api","","","","Test delete note by id",""
"passed","Thu Dec 07 09:16:25 GMT 2023","Thu Dec 07 09:16:25 GMT 2023","124","tests.Lesson_20","test_notes_api","","","","Test fail post note without title",""
"passed","Thu Dec 07 09:16:26 GMT 2023","Thu Dec 07 09:16:27 GMT 2023","201","tests.Lesson_20","test_notes_api","","","","Test delete note without content type",""
"passed","Thu Dec 07 09:16:26 GMT 2023","Thu Dec 07 09:16:26 GMT 2023","126","tests.Lesson_20","test_notes_api","","","","Test post fail empty note",""
"passed","Thu Dec 07 09:16:24 GMT 2023","Thu Dec 07 09:16:25 GMT 2023","353","tests.Lesson_20","test_notes_api","","","","Test get note by id",""
"passed","Thu Dec 07 09:16:27 GMT 2023","Thu Dec 07 09:16:27 GMT 2023","100","tests.Lesson_20","test_notes_api","","","","Test authentif fail without token",""
"passed","Thu Dec 07 09:16:23 GMT 2023","Thu Dec 07 09:16:24 GMT 2023","780","tests.Lesson_20","test_notes_api","","","","Test get all notes",""
