"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 14:52:26 GMT 2023","Fri Dec 01 14:52:26 GMT 2023","115","tests.Lesson_20","test_notes_api","","","","Test post fail empty note",""
"passed","Fri Dec 01 14:52:30 GMT 2023","Fri Dec 01 14:52:30 GMT 2023","110","tests.Lesson_20","test_notes_api","","","","Test get note fail with invalid id",""
"passed","Fri Dec 01 14:52:26 GMT 2023","Fri Dec 01 14:52:26 GMT 2023","114","tests.Lesson_20","test_notes_api","","","","Test fail post new note without description",""
"passed","Fri Dec 01 14:52:25 GMT 2023","Fri Dec 01 14:52:26 GMT 2023","329","tests.Lesson_20","test_notes_api","","","","Update existing note by id",""
"passed","Fri Dec 01 14:52:24 GMT 2023","Fri Dec 01 14:52:24 GMT 2023","514","tests.Lesson_20","test_notes_api","","","","Test get all notes",""
"passed","Fri Dec 01 14:52:29 GMT 2023","Fri Dec 01 14:52:29 GMT 2023","180","tests.Lesson_20","test_notes_api","","","","Test delete note by id",""
"passed","Fri Dec 01 14:52:25 GMT 2023","Fri Dec 01 14:52:25 GMT 2023","108","tests.Lesson_20","test_notes_api","","","","Test fail post note without title",""
"passed","Fri Dec 01 14:52:24 GMT 2023","Fri Dec 01 14:52:24 GMT 2023","220","tests.Lesson_20","test_notes_api","","","","Test post new note",""
"passed","Fri Dec 01 14:52:29 GMT 2023","Fri Dec 01 14:52:29 GMT 2023","106","tests.Lesson_20","test_notes_api","","","","Test page not found empty id",""
"passed","Fri Dec 01 14:52:30 GMT 2023","Fri Dec 01 14:52:31 GMT 2023","310","tests.Lesson_20","test_notes_api","","","","Test fail change note status to string",""
"passed","Fri Dec 01 14:52:30 GMT 2023","Fri Dec 01 14:52:30 GMT 2023","392","tests.Lesson_20","test_notes_api","","","","Test change note status",""
"passed","Fri Dec 01 14:52:25 GMT 2023","Fri Dec 01 14:52:25 GMT 2023","286","tests.Lesson_20","test_notes_api","","","","Test get note by id",""
"passed","Fri Dec 01 14:52:30 GMT 2023","Fri Dec 01 14:52:30 GMT 2023","78","tests.Lesson_20","test_notes_api","","","","Test authentif fail without token",""
"passed","Fri Dec 01 14:52:29 GMT 2023","Fri Dec 01 14:52:30 GMT 2023","182","tests.Lesson_20","test_notes_api","","","","Test delete note without content type",""
